Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
aiMotive Inc.,AVT036,11/21/2024,4T1B21HK3KU514477,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode to ensure stopping at traffic light or stop line. Root cause: inaccurate traffic light or stop line detection. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,11/21/2024,4T1B21HK3KU514477,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode due to issue with cut in maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,11/21/2024,4T1B21HK3KU514477,No,Yes,Test Driver,Freeway,"Safety Driver disengaged autonomous mode to perform a steering maneuver to correct the trajectory of the vehicle. Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,10/2/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/27/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Highway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/27/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/27/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/27/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Highway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Highway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,Safety Driver disengaged autonomous mode due to issue with cut in maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,Safety Driver disengaged autonomous mode due to issue with cut in maneuver because of insufficient distance keeping from other vehicles. Root cause: object detection or other issue. Conditions: Non-inclement weather
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Highway,"Safety Driver disengaged autonomous mode as a precaution for keeping distance from vehicle parked on side. Root cause: precaution. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode to perform a steering maneuver to correct the trajectory of the vehicle. Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode to perform a steering maneuver to correct the trajectory of the vehicle. Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Highway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Highway,"Safety Driver disengaged autonomous mode to perform a steering maneuver to correct the trajectory of the vehicle. Root cause: trajectory calculation issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/26/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/25/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/25/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/25/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/25/2024,4T1B21HK6KU514747,No,Yes,Test Driver,Street,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
aiMotive Inc.,AVT036,9/5/2024,4T1B21HK3KU514477,No,Yes,Test Driver,Highway,"Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road/lane boundary. Root cause: object, lane detection or other issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
